RecordID,PolicyID,TransactionType,PolicyStartDate,CancellationDate,DaysUsed,DaysPaid,PaymentFrequency,AnnualTotalCharge,ProductA_Premium,ProductA_TaxAmount,ProductA_Commission,ProductA_AdminFee,ProductB_Premium,ProductB_TaxAmount,ProductB_Commission,ProductC_Premium,ProductC_TaxAmount,ProductC_Commission,ProductC_AdminFee,EventEffectiveDate,PolicyEndDate,IntervalMonths,AlignedStart,PayStart,PayDate,PaymentMonthNum,UnderwrittenMonthNum,CancellationEffectiveDate,CancellationStatus,InstalmentCount,Base_Installment_Premium_A,Base_Installment_Tax_A,Base_Installment_Premium_B,Base_Installment_Tax_B,Base_Installment_Premium_C,Base_Installment_Tax_C,UpgradeInstalmentCount,Upgrade_Installment_Premium_A,Upgrade_Installment_Tax_A,Upgrade_Installment_Premium_B,Upgrade_Installment_Tax_B,Upgrade_Installment_Premium_C,Upgrade_Installment_Tax_C
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/01/2024,202401,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/02/2024,202402,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/03/2024,202403,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/04/2024,202404,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/05/2024,202405,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/06/2024,202406,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/07/2024,202407,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/08/2024,202408,202401,10/09/2024,Before Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/09/2024,202409,202401,10/09/2024,In Cancellation Month,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/10/2024,202410,202401,10/09/2024,After Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/11/2024,202411,202401,10/09/2024,After Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
1001,POL-1001,New,01/01/2024,,0,0,monthly,180,90,9,5,3,40,4,3,50,5,3,1.5,01/01/2024,31/12/2024,1,01/01/2024,01/01/2024,01/12/2024,202412,202401,10/09/2024,After Cancellation,12,7.5,0.75,3.3333333333333335,0.3333333333333333,4.166666666666667,0.4166666666666667,,,,,,,
